Row,S,X,E,M
1,13876,1,1,1
2,11608,1,3,0
3,18701,1,3,1
4,11283,1,2,0
5,11767,1,3,0
6,20872,2,2,1
7,11772,2,2,0
8,10535,2,1,0
9,12195,2,3,0
10,12313,3,2,0
11,14975,3,1,1
12,21371,3,2,1
13,19800,3,3,1
14,11417,4,1,0
15,20263,4,3,1
16,13231,4,3,0
17,12884,4,2,0
18,13245,5,2,0
19,13677,5,3,0
20,15965,5,1,1
21,12336,6,1,0
22,21352,6,3,1
23,13839,6,2,0
24,22884,6,2,1
25,16978,7,1,1
26,14803,8,2,0
27,17404,8,1,1
28,22184,8,3,1
29,13548,8,1,0
30,14467,10,1,0
31,15942,10,2,0
32,23174,10,3,1
33,23780,10,2,1
34,25410,11,2,1
35,14861,11,1,0
36,16882,12,2,0
37,24170,12,3,1
38,15990,13,1,0
39,26330,13,2,1
40,17949,14,2,0
41,25685,15,3,1
42,27837,16,2,1
43,18838,16,2,0
44,17483,16,1,0
45,19207,17,2,0
46,19346,20,1,0
